id_fecha_de_agregado;fecha_completa;dia;mes;mes_corto;num_mes;anio
1;"November 26, 2021";26;November;Nov;11;2021
2;"November 25, 2021";25;November;Nov;11;2021
3;"November 24, 2021";24;November;Nov;11;2021
4;"November 19, 2021";19;November;Nov;11;2021
5;"November 17, 2021";17;November;Nov;11;2021
6;"November 12, 2021";12;November;Nov;11;2021
7;"November 5, 2021";5;November;Nov;11;2021
8;"November 3, 2021";3;November;Nov;11;2021
9;"October 29, 2021";29;October;Oct;10;2021
10;"October 22, 2021";22;October;Oct;10;2021
11;"October 20, 2021";20;October;Oct;10;2021
12;"October 15, 2021";15;October;Oct;10;2021
13;"October 13, 2021";13;October;Oct;10;2021
14;"October 8, 2021";8;October;Oct;10;2021
15;"October 6, 2021";6;October;Oct;10;2021
16;"October 1, 2021";1;October;Oct;10;2021
17;"September 29, 2021";29;September;Sep;9;2021
18;"September 24, 2021";24;September;Sep;9;2021
19;"September 22, 2021";22;September;Sep;9;2021
20;"September 17, 2021";17;September;Sep;9;2021
21;"September 15, 2021";15;September;Sep;9;2021
22;"September 10, 2021";10;September;Sep;9;2021
23;"September 8, 2021";8;September;Sep;9;2021
24;"September 3, 2021";3;September;Sep;9;2021
25;"September 1, 2021";1;September;Sep;9;2021
26;"August 27, 2021";27;August;Aug;8;2021
27;"August 25, 2021";25;August;Aug;8;2021
28;"August 20, 2021";20;August;Aug;8;2021
29;"August 18, 2021";18;August;Aug;8;2021
30;"August 13, 2021";13;August;Aug;8;2021
31;"August 11, 2021";11;August;Aug;8;2021
32;"August 6, 2021";6;August;Aug;8;2021
33;"August 4, 2021";4;August;Aug;8;2021
34;"July 30, 2021";30;July;Jul;7;2021
35;"July 28, 2021";28;July;Jul;7;2021
36;"July 23, 2021";23;July;Jul;7;2021
37;"July 21, 2021";21;July;Jul;7;2021
38;"July 16, 2021";16;July;Jul;7;2021
39;"July 14, 2021";14;July;Jul;7;2021
40;"July 9, 2021";9;July;Jul;7;2021
41;"July 7, 2021";7;July;Jul;7;2021
42;"July 2, 2021";2;July;Jul;7;2021
43;"June 25, 2021";25;June;Jun;6;2021
44;"June 18, 2021";18;June;Jun;6;2021
45;"June 11, 2021";11;June;Jun;6;2021
46;"June 9, 2021";9;June;Jun;6;2021
47;"June 4, 2021";4;June;Jun;6;2021
48;"May 28, 2021";28;May;May;5;2021
49;"May 21, 2021";21;May;May;5;2021
50;"May 17, 2021";17;May;May;5;2021
51;"May 14, 2021";14;May;May;5;2021
52;"May 10, 2021";10;May;May;5;2021
53;"May 7, 2021";7;May;May;5;2021
54;"May 4, 2021";4;May;May;5;2021
55;"May 3, 2021";3;May;May;5;2021
