id_descripcion;descripcion
1;"Join Mickey and the gang as they duck the halls!"
2;"Santa Claus passes his magic bag to a new St. Nic."
3;"Sid the Sloth is on Santa's naughty list."
4;"This is real life, not just fantasy!"
5;"A three-part documentary from Peter Jackson capturing a moment in music history with The Beatles."
6;"An inside look at the legendary life of adventurer Jacques-Yves Cousteau."
7;"Clint Barton/Hawkeye must team up with skilled archer Kate Bishop to unravel a criminal conspiracy."
8;"Residents of Port Protection must combat volatile conditions to survive and thrive in Alaska."
9;"A day in the life at ZooTampa is anything but ordinary. It's extraordinary!"
10;"Celebrate the holiday season with all your favorite Muppets."
11;"Explore the treasures and rich history of the Walt Disney Archives."
12;"Check out Daveed Digg's official music video "Puppy for Hanukkah!""
13;"A groundbreaking company forever changes the face of filmmaking."
14;"Meet Dr. Michelle Oakley, vet to pretty much everything that moves in the rugged Yukon."
15;"Epic, grand portrait of the land across four regions on the most extreme continent. Coming in 2022."
16;"“Baymax!” premieres on Disney+ summer 2022."
17;"Fun-loving sea monster Alberto whole-heartedly wants to prove himself to his stoic mentor Massimo."
18;"Nancy makes every day extraordinary!"
19;"Allegra is ready to change the past in order to reach her dream."
20;"An animated princess winds up in the real world of modern-day Manhattan."
21;"One man's love life seen through the eyes of his dog."
22;"Elsa wants to give Anna the best birthday party ever."
23;"Mickey and friends hitch a ride on a musical hay wagon."
24;"Alone for the holidays, Max Mercer will do whatever it takes to protect his home from trespassers."
25;"Dr. Lily Houghton & skipper Frank Wolff team up for a wild ride on the Amazon."
26;""Limitless with Chris Hemsworth" is coming to Disney+ in 2022."
27;"Marvel Studios’ Disney+ Day Special explores the Disney+ series of the MCU – past, present and future."
28;"A behind the scenes look of the "Obi-Wan Kenobi" special event series. Coming to Disney+ in 2022."
29;"Olaf goes from snowman to showman for his unique retelling of five favorite Disney Animation tales."
30;"A young man strives to find girl of his dreams."
31;"Join Pete Docter for a tour around Pixar and get a sneak peek at several upcoming Disney+ releases."
32;"Shang-Chi must confront his father, leader of the Ten Rings organization."
33;"Rhea discovers her passion for creating DJ mixes!"
34;"It's up to Max and Pascal to save the royal wedding."
35;"A colorful tale about the friendly Loch Ness monster."
36;"A poor matchgirl sees happy images in the flames of her matches."
37;"Go behind the scenes of "Happier Than Ever: A Love Letter to Los Angeles.""
38;""The Proud Family: Louder and Prouder" follows Penny Proud and her family. Coming in February 2022."
39;"Celebrate Disney+ Day with The Simpsons and their friends from across the service."
40;"A tale of a quirky mantle clock."
41;"A special celebrating the origins and legacy of Star Wars’ legendary bounty hunter, Boba Fett."
42;"Meet the cast of the all-new Disney+ fantasy-adventure series "Willow." Coming to Disney+ in 2022."
43;"The Chipmunks and Chipettes get stranded on a remote island – or so it would seem."
44;"A father's Christmas Eve turns into a madcap scramble to find a much sought-after toy for his son."
45;"Two dads compete to be the best father and make Christmas amazing!"
46;"Mrs. Claus enlists two elves in a secret mission."
47;"The Buddies remind Santa Paws' feisty son, Puppy Paws, about the true meaning of Christmas."
48;"Disney’s favorite talking pups put one paw in front of the other in a thrilling Alaskan adventure."
49;"Disney's most adventurous talking pups take one small step for dog, one giant leap for dogkind."
50;"Discover how the legendary friendship of Santa Claus and Santa Paws began."
51;"Following the classic mythology, X-Men: First Class charts the epic beginning of the X-Men saga."
52;"Anne Boonchuy is transported to the world of Amphibia."
53;"National Geographic photographer Joel Sartore photographs some of the rarest animals in the world."
54;"Storm chasers Reed Timmer and Mike Theiss track and study a new category of deadly storms."
55;"An intimate portrait of Bob Ballard, the legendary explorer who found the Titanic."
56;"A coach guides underdogs past tremendous obstacles to become champions."
57;"A 12-year-old boy can throw a 100 mph fastball, and the Chicago Cubs want him as their new pitcher!"
58;"A digit-sized heroine evades the clutches of various creatures so she can reunite with her prince."
59;"Look out Night Time Baddies the PJ Masks are coming!"
60;"Doc Ole practices his unique brand of animal care with wit, expertise and insight."
61;"Albert Lin is on a global quest to find the origins of Great Flood stories."
62;"Albert Lin sets out to solve an ancient mystery and find a Lost Maya city."
63;"Follow the Apollo lunar landing program from the inside, as never shown before."
64;"Inspired by the writings of R.L. Stine, “Just Beyond” is a supernatural anthology series."
65;"This series is a behind-the-scenes look at one of the world’s most famous zoos."
66;"The North Carolina Zoo has more than 1,000 animals that live in lush natural habitats."
67;"Follow pet prosthetics pioneer Derrick Campana as he gives troubled animals a second chance."
68;"Things are smooth sailing at Seabrook High until ..."
69;"The Bennett-Blatts set out to reverse an evil curse!"
70;"Mickey tells a tale of two witches-in-training!"
71;"Gonzo is challenged to spend Halloween night in the scariest place on Earth – the Haunted Mansion."
72;"Celebrating 50 years of the Walt Disney World Resort."
73;"Three friends revive a mummy in a neighbor's basement."
74;"NASA Astronaut Captain Chris Cassidy and the NASA team take on the challenges of space exploration."
75;"Natasha confronts her history as a spy and the broken relationships left in her wake."
76;"Pull the plug on the ocean to reveal hidden secrets using groundbreaking technology."
77;"Drain the Oceans takes underwater archaeology into a whole new era."
78;""Fauci" reveals the extraordinary life and career of Dr. Anthony Fauci."
79;"National Geographic Presents IMPACT with Gal Gadot honors impactful women."
80;"A grumpy ghost and cheerful tween are eternally bound."
81;"Pop-singer Chipmunks Alvin, Simon and Theodore turn a songwriter's life upside-down."
82;"Your favorite fur balls, the Chipmunks, hit the road for an all-new, music-filled adventure."
83;"Poe and BB-8 are told terrifying tales as they search for help in Darth Vader’s creepy old castle."
84;"Driven by revenge, Maleficent places a curse upon the king’s newborn infant, Aurora."
85;"Mickey tells a scary story on Halloween."
86;"Vampirina is the new girl in town!"
87;"Kid bakers compete to be named Disney Baking Champion."
88;"Explore the complex Great Barrier Reef along with the wildlife that inhabit it."
89;"The love of learning begins with Disney Junior!"
90;"Rolie Polie Olie’s life and adventures center on his Robo-family."
91;""Star Wars Galaxy of Sounds" immerses audiences in the nostalgic ambience of a galaxy far, far away."
92;"The Hatcher Family enjoys a nonstop circus of animals, farming and family."
93;"The world’s favorite nuclear family, in the award-winning, history-making series."
94;"Two Pixar filmmakers strive to bring their uniquely personal SparkShorts visions to the screen."
95;"The puppies go on a spooky adventure through a mysterious haunted mansion in this fur-raising flick."
96;"Hazel and Gus share a love that sweeps them on an unforgettable journey."
97;"Matt Beisner uses unique approaches to modifying canine behavior and focuses on each animal’s needs."
98;"Spidey teams up with pals to become The Spidey Team!"
99;"An animated anthology celebrating Star Wars through the lens of the world’s best anime creators."
100;"Becky writes a personal finance column en route to a high-fashion mag job."
101;"Mal and Ben’s wedding is finally here!"
102;"Experience the magic of Disney on Broadway in an unforgettable night of music."
103;"Archaeologists dive into a pyramid flooded by the Nile to search for a king’s burial."
104;"Jade Eyed Leopard follows a leopard, Toto, throughout the first three years of her life."
105;"A grandmother's plan for a day alone is upended by an unexpected visit from her granddaughter."
106;"Park Rangers protect the wildlife in Great Smoky Mountain National Park."
107;"Experience life deep in Alaska where the primal way lives on – brave the wild, fight the freeze."
108;"Superheroes Ladybug and Cat Noir protect the city."
109;"Angler and adventurer, Jeremy Wade, explores the greatest river system in the world."
110;"Our gang is off for an exotic vacation of a lifetime!"
