id_direccion;director;cast
1;"Alonso Ramirez Ramos, Dave Wasson";"Chris Diamantopoulos, Tony Anselmo, Tress MacNeille, Bill Farmer, Russi Taylor, Corey Burton"
2;"John Cherry";"Jim Varney, Noelle Parker, Douglas Seale"
3;"Karen Disher";"Raymond Albert Romano, John Leguizamo, Denis Leary, Queen Latifah"
4;"Hamish Hamilton";"Darren Criss, Adam Lambert, Derek Hough, Alexander Jean, Fall Out Boy, Jimmie Allen"
5;;"John Lennon, Paul McCartney, George Harrison, Ringo Starr"
6;"Liz Garbus";"Jacques Yves Cousteau, Vincent Cassel"
7;;"Jeremy Renner, Hailee Steinfeld, Vera Farmiga, Fra Fee, Tony Dalton, Zahn McClarnon"
8;;"Gary Muehlberger, Mary Miller, Curly Leach, Sam Carlson, Stuart Andrews, David Squibb"
9;;"Dr. Ray Ball, Dr. Lauren Smith, Chris Massaro, Tiffany Burns, Mike Burns, Melinda Mendolusky"
10;"Kirk R. Thatcher";"Steve Whitmire, Dave Goelz, Bill Barretta, Eric Jacobson"
11;"John Gleim";"Don Hahn, Kathryn Beaumont, Pete Docter, Kevin Feige, Mark Hamill, Bob Iger"
12;"Leslie Iwerks";"Stacy Keach, John Lasseter, Brad Bird, John Musker, Ron Clements, Frank Thomas"
13;;"Dr. Michelle Oakley, Zachary Fine"
14;;"Michael B. Jordan"
15;"McKenna Harris";"Jack Dylan Grazer, Marco Barricelli"
16;;"Mia Jenness, Alyson Hannigan, Rob Riggle, Spencer Moss, Dana Heath"
17;;"Carolina Domenech, José Jiménez Zapiola, Kevsho, Elena Roger, Clara Alonso, Emilia Mernes"
18;"Kevin Lima";"Amy Adams, Patrick Dempsey, James Marsden, Timothy Spall, Idina Menzel, Susan Sarandon"
19;"Patrick Osborne";"Stephen Apostolina, Kirk Baily, Ben Bledsoe, David Cowgill, Terri Douglas, Fuschia!"
20;"Chris Buck, Jennifer Lee";"Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad, Santino Fontana, Chris Williams"
21;"Lauren MacMullan";"Walt Disney, Marcellite Garner, Russi Taylor, Billy Bletcher, Will Ryan, Bob Bergen"
22;"Dan Mazer";"Ellie Kemper, Rob Delaney, Archie Yates, Aisling Bea, Kenan Thompson, Tim Simons"
23;"Jaume Collet-Serra";"Dwayne Johnson, Emily Blunt, Edgar Ramirez, Jack Whitehall, Jesse Plemons, Paul Giamatti"
24;;"Chris Hemsworth"
25;;"Josh Gad"
26;"John Kahrs";"John Kahrs, Kari Wahlgren"
27;;"Pete Docter, Larry the Cable Guy, Jack Dylan Grazer, Domee Shi, Angus MacLane"
28;"Destin Daniel Cretton";"Simu Liu, Awkwafina, Tony Leung, Michelle Yeoh, Meng'er Zhang, Ben Kingsley"
29;"Manjari Makijany";"Avantika, Michael Bishop, Anna Cathcart, Jahbril Cook, Kerri Medders, Aryan Simhadri"
30;"Nathan Greno, Byron Howard";"Mandy Moore, Zachary Levi, Alan Dale, Paul F. Tompkins, Kari Wahlgren, Mark Allen Stewart"
31;"Stevie Wermers-Skelton, Kevin Deters";"Billy Connolly"
32;"Roger Allers";
33;"David Clair";"Billie Eilish, FINNEAS, Gustavo Dudamel, Patrick Osborne, Robert Rodriguez"
34;;"Kyla Pratt, Tommy Davidson, Paula Jai Parker, JoMarie Payton, Cedric the Entertainer"
35;"David Silverman";"Dan Castellaneta, Nancy Cartwright, Yeardley Smith, Tress MacNeille, Hank Azaria"
36;"Dean Wellins";
37;"Mike Mitchell";"Jason Lee, David Cross, Jenny Slate, Justin Long, Matthew Gray Gubler, Jesse McCartney"
38;"Brian Levant";"Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson, Robert Conrad, Martin Mull"
39;"Alex Zamm";"Larry the Cable Guy, Brian Stepanek, Santino Marella, Kennedi Clements, Kirsten Robek, Rachel Hayward"
40;"Kevin Deters, Stevie Wermers-Skelton";"Betty White, Dave Foley, Derek Richardson, Sarah Chalke, W. Morgan Sheppard"
41;"Robert Vince";"Christopher Lloyd, Danny Woodburn, Craig Anton, Michael Teigen, Ben Giroux, Paul Rae"
42;"Robert Vince";"Dominic Scott Kay, John Kapelos, Lise Simms, Mike Dopud, Charles C. Stevenson Jr., Dylan Minnette"
43;"Robert Vince";"F.T. Anderson, Diedrich Bader, Field Cate, Kendall Cross, Mike Dopud, Mark Downey"
44;"Robert Vince";"Resse Alexander, Diedrich Bader, Sahar Biniaz, Jan Boss, Ameko Eks Mass Carroll, Melody Choi"
45;"Matthew Vaughn";"James McAvoy, Michael Fassbender, Rose Byrne, Jennifer Lawrence, January Jones, Nicholas Hoult"
46;;"Justin Felbinger, Amanda Leighton, Bill Farmer, Brenda Song"
47;;"Joel Sartore"
48;"Niki Caro";"Kevin Costner, Maria Bello, Morgan Saylor, Martha Higareda, Michael Aguero, Sergio Avelar"
49;"Daniel Stern";"Thomas Ian Nicholas, Gary Busey, Albert Hall, Amy Morton, Dan Hedaya, Eddie Bracken"
50;"Don Bluth, Gary Goldman";"Gino Conforti, Barbara Cook, Jodi Benson, Will Ryan, June Foray, Kenneth Mars"
51;;"Kyle Breitkopf, Jacob Ursomarzo, Addison Holley"
52;"Jim Greayer";"Dr. Albert Yu-Min Lin"
53;"Ben Crichton";"Albert Lin"
54;;"Bill Anders, Jack Clemons, Fred Haise, Glynn Lunney, Jay Barbree, Brad Vinikow"
55;;"Mckenna Grace, Lexi Underwood, Cedric Joe, Tim Heidecker, Riki Lindhome, Nasim Pedrad"
56;;"Naomi Watts"
57;;"Tobie Windham, Suzi Barrett, Ramon Reed, Kaylin Hayman, JC Currais, Raven-Symoné"
58;"Jeff Gordon";"Bret Iwan, Kaitlyn Robrock, Bill Farmer, Daniel Ross, Tress MacNeille, Jim Cummings"
59;"Kirk Thatcher";"Dave Goelz, Bill Barretta, Will Arnett, Taraji P. Henson, Yvette Nicole Brown, Darren Criss"
60;"Dave Hoffman";"Whoopi Goldberg, Christina Aguilera, Halle Bailey, Orlando Philharmonic Orchestra, Anthony Anderson, Tom Brady"
61;"Alex Zamm";"Malachi Barton, Christian J. Simon, Sophia Hammons, Melanie Brook, Brent Stait, Jordana Largy"
62;;"Chris Cassidy"
63;"Cate Shortland";"Scarlett Johansson, Florence Pugh, David Harbour, O-T Fagbenle, Rachel Weisz, Ray Winstone"
64;;"Russell Boulter"
65;;"Kerry Shale"
66;"John Hoffman, Janet Tobias";"Dr. Anthony Fauci, Bono, George W. Bush, Peter Staley"
67;;"Gal Gadot"
68;;"Ashly Burch, Dana Snyder"
69;"Tim Hill";"Jason Lee, David Cross, Cameron Richardson, Jane Lynch, Justin Long, Matthew Gray Gubler"
70;"Walt Becker";"Jason Lee, Tony Hale, Kimberly Williams-Paisley, Josh Green, Bella Thorne, Uzo Aduba"
71;"Ken Cunningham";"Jake Green, Raphael Alejandro, Dana Snyder, Tony Hale, Christian Slater, Trevor Devall"
72;"Robert Stromberg";"Angelina Jolie, Sharlto Copley, Elle Fanning, Sam Riley, Imelda Staunton, Juno Temple"
73;"Alonso Ramirez Ramos, Eddie Trigueros, Dave Wasson";"Chris Diamantopoulos, Tony Anselmo, Tress MacNeille, Bill Farmer, Russi Taylor"
74;;"Isabella Crovetti, Lauren Graham, James Van Der Beek, Jordan Davis, Wanda Sykes, Mitchell Whitfield"
75;;"Issac Ryan Brown, Dara Reneé, Graciela Gomez"
76;;"Don Halbert"
77;;"Cole Caplan, Kristen Bone, Robert Smith, Catherine Disher, Adrian Truss, Len Carlson"
78;;"Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith, Hank Azaria, Pamela Hayden"
79;"Jason Sterman, Leanne Dare";"Apthon Corbin, Louis Gonzales"
80;"Robert Vince";"Tucker Albrizzi, Diedrich Bader, Ameko Eks Mass Carroll, Max Charles, Tim Conway, Jennifer Elise Cox"
81;"Josh Boone";"Shailene Woodley, Ansel Elgort, Laura Dern, Sam Trammell, Nat Wolff, Willem Dafoe"
82;;"Matt Beisner"
83;;"Benjamin Valic, Lily Sanfelippo, Jakari Fraser, Dee Bradley Baker, Melanie Minichino"
84;"P.J. Hogan";"Isla Fisher, Hugh Dancy, Joan Cusack, John Goodman, John Lithgow, Kristin Scott Thomas"
85;"Salvador Simó";"Dove Cameron, Sofia Carson, Booboo Stewart, Mitchell Hope, Sarah Jeffery, Melanie Paxson"
86;"Jay Hatcher";"John Barrowman, Ashley Brown, Merle Dandridge, Trevor Dion Nicholas, Jade Ewen, Alton Fitzgerald White"
87;"Katie Bauer Murdock";"Devin E. Haqq"
88;;"Jeremy Irons"
89;"Louis Gonzales";
90;;"Peter Jessop"
91;;"Chip Hailstone, Agnes Hailstone, Sue Aikens, Andy Bassich"
92;;"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Mela Lee, Max Mittelman, Carrie Keranen"
93;;"Jeremy Wade"
94;;"Raven-Symoné, Issac Ryan Brown, Navia Robinson, Jason Maybaum, Sky Katz, Anneliese van der Pol"
95;"Rob Marshall";"Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush, Kevin R. McNally, Sam Claflin"
96;"Aphton Corbin";"Kaylin Price, Ariana Brown, Aliyah Taylor, Janelle LaSalle, Napoleon Highbrou"
97;;"Peyton Elizabeth Lee, Emma Meisel, Matthew Sato, Wes Tian, Jeffrey Bowyer-Chapman, Mapuana Makia"
98;;"Leela Ladnier, Utkarsh Ambudkar, Roshni Edwards, Kal Penn, Kamran Lucas"
99;;"Kathleen Wilhoite, Clea Lewis, Danny Cooksey, Pamela Segall, April Winchell, Don Adams"
100;;"Rick Robles, Dr. Pol"
101;"Robert Rodriguez, Patrick Osborne";"Billie Eilish, FINNEAS"
102;"Simon Kinberg";"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult, Sophie Turner, Tye Sheridan"
103;;"Victoria Vosburg"
104;;"Bob Peterson, Ed Asner, Jordan Nagai"
