Area_profesional;Puesto;Sector;Tipo_rango;Buenos Aires;Cuyo;Litoral-Centro;NEA;NOA;Patagonia;Dolar_Promedio_Mes
dirección.;Director de Administración  y Finanzas;Automotriz;Min;$13.767.751;$12.115.621;$12.666.331;$11.358.395;$11.702.588;$17.209.689;1284
dirección.;Director de Administración  y Finanzas;Automotriz;Max;$18.596.894;$16.365.267;$17.109.142;$15.342.438;$15.807.360;$23.246.118;1284
dirección.;Director de Administración  y Finanzas;Banca & Serv Financieros;Min;$14.404.510;$12.675.969;$13.252.149;$11.883.721;$12.243.834;$18.005.638;1284
dirección.;Director de Administración  y Finanzas;Banca & Serv Financieros;Max;$19.096.888;$16.805.261;$17.569.137;$15.754.933;$16.232.355;$23.871.110;1284
dirección.;Director de Administración  y Finanzas;Consumo masivo;Min;$12.804.008;$11.267.527;$11.779.687;$10.563.307;$10.883.407;$16.005.010;1284
dirección.;Director de Administración  y Finanzas;Consumo masivo;Max;$16.913.015;$14.883.453;$15.559.974;$13.953.237;$14.376.063;$21.141.269;1284
dirección.;Director de Administración  y Finanzas;Gas, Petróleo y Minería;Min;$14.404.510;$12.675.969;$13.252.149;$11.883.721;$12.243.834;$18.005.638;1284
dirección.;Director de Administración  y Finanzas;Gas, Petróleo y Minería;Max;$19.096.888;$16.805.261;$17.569.137;$15.754.933;$16.232.355;$23.871.110;1284
dirección.;Director de Administración  y Finanzas;IT;Min;$14.404.510;$12.675.969;$13.252.149;$11.883.721;$12.243.834;$18.005.638;1284
dirección.;Director de Administración  y Finanzas;IT;Max;$19.096.888;$16.805.261;$17.569.137;$15.754.933;$16.232.355;$23.871.110;1284
dirección.;Director de Administración  y Finanzas;Lab & Pharma;Min;$14.404.510;$12.675.969;$13.252.149;$11.883.721;$12.243.834;$18.005.638;1284
dirección.;Director de Administración  y Finanzas;Lab & Pharma;Max;$19.096.888;$16.805.261;$17.569.137;$15.754.933;$16.232.355;$23.871.110;1284
dirección.;Director de Administración  y Finanzas;Manufactura;Min;$13.767.751;$12.115.621;$12.666.331;$11.358.395;$11.702.588;$17.209.689;1284
dirección.;Director de Administración  y Finanzas;Manufactura;Max;$18.596.894;$16.365.267;$17.109.142;$15.342.438;$15.807.360;$23.246.118;1284
dirección.;Director de Administración  y Finanzas;Retail & Comercio;Min;$12.803.965;$11.267.489;$11.779.648;$10.563.271;$10.883.370;$16.004.956;1284
dirección.;Director de Administración  y Finanzas;Retail & Comercio;Max;$16.913.015;$14.883.453;$15.559.974;$13.953.237;$14.376.063;$21.141.269;1284
dirección.;Director de Administración  y Finanzas;Servicios;Min;$12.803.965;$11.267.489;$11.779.648;$10.563.271;$10.883.370;$16.004.956;1284
dirección.;Director de Administración  y Finanzas;Servicios;Max;$16.913.015;$14.883.453;$15.559.974;$13.953.237;$14.376.063;$21.141.269;1284
dirección.;Director de Administración  y Finanzas;Transporte y logística;Min;$12.163.767;$10.704.115;$11.190.666;$10.035.108;$10.339.202;$15.204.709;1284
dirección.;Director de Administración  y Finanzas;Transporte y logística;Max;$16.067.365;$14.139.281;$14.781.976;$13.255.576;$13.657.260;$20.084.206;1284
dirección.;Director comercial;Automotriz;Min;$11.614.120;$10.220.426;$9.291.296;$9.581.649;$9.872.002;$14.517.650;1284
dirección.;Director comercial;Automotriz;Max;$17.735.927;$15.607.616;$14.188.742;$14.632.140;$15.075.538;$22.169.909;1284
dirección.;Director comercial;Banca & Serv Financieros;Min;$12.151.274;$10.693.121;$9.721.019;$10.024.801;$10.328.583;$15.189.093;1284
dirección.;Director comercial;Banca & Serv Financieros;Max;$18.212.602;$16.027.090;$14.570.082;$15.025.397;$15.480.712;$22.765.753;1284
dirección.;Director comercial;Consumo masivo;Min;$10.801.131;$9.504.995;$8.640.905;$8.910.933;$9.180.961;$13.501.414;1284
dirección.;Director comercial;Consumo masivo;Max;$15.340.291;$13.499.456;$12.272.233;$12.655.740;$13.039.247;$19.175.364;1284
dirección.;Director comercial;Gas, Petróleo y Minería;Min;$12.151.296;$10.693.140;$9.721.037;$10.024.819;$10.328.602;$15.189.120;1284
dirección.;Director comercial;Gas, Petróleo y Minería;Max;$18.212.602;$16.027.090;$14.570.082;$15.025.397;$15.480.712;$22.765.753;1284
dirección.;Director comercial;IT;Min;$12.151.264;$10.693.112;$9.721.011;$10.024.793;$10.328.574;$15.189.080;1284
