Area_profesional;Puesto;Sector;Tipo_rango;Zona;Valor;Dolar_Promedio_Mes
dirección.;Director de Administración  y Finanzas;Automotriz;Min;Buenos Aires;$13.767.751;1284
dirección.;Director de Administración  y Finanzas;Automotriz;Max;Buenos Aires;$18.596.894;1284
dirección.;Director de Administración  y Finanzas;Banca & Serv Financieros;Min;Buenos Aires;$14.404.510;1284
dirección.;Director de Administración  y Finanzas;Banca & Serv Financieros;Max;Buenos Aires;$19.096.888;1284
dirección.;Director de Administración  y Finanzas;Consumo masivo;Min;Buenos Aires;$12.804.008;1284
dirección.;Director de Administración  y Finanzas;Consumo masivo;Max;Buenos Aires;$16.913.015;1284
dirección.;Director de Administración  y Finanzas;Gas, Petróleo y Minería;Min;Buenos Aires;$14.404.510;1284
dirección.;Director de Administración  y Finanzas;Gas, Petróleo y Minería;Max;Buenos Aires;$19.096.888;1284
dirección.;Director de Administración  y Finanzas;IT;Min;Buenos Aires;$14.404.510;1284
dirección.;Director de Administración  y Finanzas;IT;Max;Buenos Aires;$19.096.888;1284
dirección.;Director de Administración  y Finanzas;Lab & Pharma;Min;Buenos Aires;$14.404.510;1284
dirección.;Director de Administración  y Finanzas;Lab & Pharma;Max;Buenos Aires;$19.096.888;1284
dirección.;Director de Administración  y Finanzas;Manufactura;Min;Buenos Aires;$13.767.751;1284
dirección.;Director de Administración  y Finanzas;Manufactura;Max;Buenos Aires;$18.596.894;1284
dirección.;Director de Administración  y Finanzas;Retail & Comercio;Min;Buenos Aires;$12.803.965;1284
dirección.;Director de Administración  y Finanzas;Retail & Comercio;Max;Buenos Aires;$16.913.015;1284
dirección.;Director de Administración  y Finanzas;Servicios;Min;Buenos Aires;$12.803.965;1284
dirección.;Director de Administración  y Finanzas;Servicios;Max;Buenos Aires;$16.913.015;1284
dirección.;Director de Administración  y Finanzas;Transporte y logística;Min;Buenos Aires;$12.163.767;1284
dirección.;Director de Administración  y Finanzas;Transporte y logística;Max;Buenos Aires;$16.067.365;1284
dirección.;Director de Administración  y Finanzas;Automotriz;Min;Cuyo;$12.115.621;1284
dirección.;Director de Administración  y Finanzas;Automotriz;Max;Cuyo;$16.365.267;1284
dirección.;Director de Administración  y Finanzas;Banca & Serv Financieros;Min;Cuyo;$12.675.969;1284
dirección.;Director de Administración  y Finanzas;Banca & Serv Financieros;Max;Cuyo;$16.805.261;1284
dirección.;Director de Administración  y Finanzas;Consumo masivo;Min;Cuyo;$11.267.527;1284
dirección.;Director de Administración  y Finanzas;Consumo masivo;Max;Cuyo;$14.883.453;1284
dirección.;Director de Administración  y Finanzas;Gas, Petróleo y Minería;Min;Cuyo;$12.675.969;1284
dirección.;Director de Administración  y Finanzas;Gas, Petróleo y Minería;Max;Cuyo;$16.805.261;1284
dirección.;Director de Administración  y Finanzas;IT;Min;Cuyo;$12.675.969;1284
dirección.;Director de Administración  y Finanzas;IT;Max;Cuyo;$16.805.261;1284
dirección.;Director de Administración  y Finanzas;Lab & Pharma;Min;Cuyo;$12.675.969;1284
dirección.;Director de Administración  y Finanzas;Lab & Pharma;Max;Cuyo;$16.805.261;1284
dirección.;Director de Administración  y Finanzas;Manufactura;Min;Cuyo;$12.115.621;1284
dirección.;Director de Administración  y Finanzas;Manufactura;Max;Cuyo;$16.365.267;1284
dirección.;Director de Administración  y Finanzas;Retail & Comercio;Min;Cuyo;$11.267.489;1284
dirección.;Director de Administración  y Finanzas;Retail & Comercio;Max;Cuyo;$14.883.453;1284
dirección.;Director de Administración  y Finanzas;Servicios;Min;Cuyo;$11.267.489;1284
dirección.;Director de Administración  y Finanzas;Servicios;Max;Cuyo;$14.883.453;1284
dirección.;Director de Administración  y Finanzas;Transporte y logística;Min;Cuyo;$10.704.115;1284
dirección.;Director de Administración  y Finanzas;Transporte y logística;Max;Cuyo;$14.139.281;1284
dirección.;Director de Administración  y Finanzas;Automotriz;Min;Litoral-Centro;$12.666.331;1284
dirección.;Director de Administración  y Finanzas;Automotriz;Max;Litoral-Centro;$17.109.142;1284
dirección.;Director de Administración  y Finanzas;Banca & Serv Financieros;Min;Litoral-Centro;$13.252.149;1284
dirección.;Director de Administración  y Finanzas;Banca & Serv Financieros;Max;Litoral-Centro;$17.569.137;1284
dirección.;Director de Administración  y Finanzas;Consumo masivo;Min;Litoral-Centro;$11.779.687;1284
dirección.;Director de Administración  y Finanzas;Consumo masivo;Max;Litoral-Centro;$15.559.974;1284
dirección.;Director de Administración  y Finanzas;Gas, Petróleo y Minería;Min;Litoral-Centro;$13.252.149;1284
dirección.;Director de Administración  y Finanzas;Gas, Petróleo y Minería;Max;Litoral-Centro;$17.569.137;1284
dirección.;Director de Administración  y Finanzas;IT;Min;Litoral-Centro;$13.252.149;1284
dirección.;Director de Administración  y Finanzas;IT;Max;Litoral-Centro;$17.569.137;1284
dirección.;Director de Administración  y Finanzas;Lab & Pharma;Min;Litoral-Centro;$13.252.149;1284
dirección.;Director de Administración  y Finanzas;Lab & Pharma;Max;Litoral-Centro;$17.569.137;1284
dirección.;Director de Administración  y Finanzas;Manufactura;Min;Litoral-Centro;$12.666.331;1284
dirección.;Director de Administración  y Finanzas;Manufactura;Max;Litoral-Centro;$17.109.142;1284
dirección.;Director de Administración  y Finanzas;Retail & Comercio;Min;Litoral-Centro;$11.779.648;1284
dirección.;Director de Administración  y Finanzas;Retail & Comercio;Max;Litoral-Centro;$15.559.974;1284
dirección.;Director de Administración  y Finanzas;Servicios;Min;Litoral-Centro;$11.779.648;1284
dirección.;Director de Administración  y Finanzas;Servicios;Max;Litoral-Centro;$15.559.974;1284
dirección.;Director de Administración  y Finanzas;Transporte y logística;Min;Litoral-Centro;$11.190.666;1284
dirección.;Director de Administración  y Finanzas;Transporte y logística;Max;Litoral-Centro;$14.781.976;1284
dirección.;Director de Administración  y Finanzas;Automotriz;Min;NEA;$11.358.395;1284
dirección.;Director de Administración  y Finanzas;Automotriz;Max;NEA;$15.342.438;1284
dirección.;Director de Administración  y Finanzas;Banca & Serv Financieros;Min;NEA;$11.883.721;1284
dirección.;Director de Administración  y Finanzas;Banca & Serv Financieros;Max;NEA;$15.754.933;1284
dirección.;Director de Administración  y Finanzas;Consumo masivo;Min;NEA;$10.563.307;1284
dirección.;Director de Administración  y Finanzas;Consumo masivo;Max;NEA;$13.953.237;1284
dirección.;Director de Administración  y Finanzas;Gas, Petróleo y Minería;Min;NEA;$11.883.721;1284
dirección.;Director de Administración  y Finanzas;Gas, Petróleo y Minería;Max;NEA;$15.754.933;1284
dirección.;Director de Administración  y Finanzas;IT;Min;NEA;$11.883.721;1284
dirección.;Director de Administración  y Finanzas;IT;Max;NEA;$15.754.933;1284
dirección.;Director de Administración  y Finanzas;Lab & Pharma;Min;NEA;$11.883.721;1284
dirección.;Director de Administración  y Finanzas;Lab & Pharma;Max;NEA;$15.754.933;1284
dirección.;Director de Administración  y Finanzas;Manufactura;Min;NEA;$11.358.395;1284
dirección.;Director de Administración  y Finanzas;Manufactura;Max;NEA;$15.342.438;1284
dirección.;Director de Administración  y Finanzas;Retail & Comercio;Min;NEA;$10.563.271;1284
dirección.;Director de Administración  y Finanzas;Retail & Comercio;Max;NEA;$13.953.237;1284
dirección.;Director de Administración  y Finanzas;Servicios;Min;NEA;$10.563.271;1284
dirección.;Director de Administración  y Finanzas;Servicios;Max;NEA;$13.953.237;1284
dirección.;Director de Administración  y Finanzas;Transporte y logística;Min;NEA;$10.035.108;1284
dirección.;Director de Administración  y Finanzas;Transporte y logística;Max;NEA;$13.255.576;1284
dirección.;Director de Administración  y Finanzas;Automotriz;Min;NOA;$11.702.588;1284
dirección.;Director de Administración  y Finanzas;Automotriz;Max;NOA;$15.807.360;1284
dirección.;Director de Administración  y Finanzas;Banca & Serv Financieros;Min;NOA;$12.243.834;1284
dirección.;Director de Administración  y Finanzas;Banca & Serv Financieros;Max;NOA;$16.232.355;1284
dirección.;Director de Administración  y Finanzas;Consumo masivo;Min;NOA;$10.883.407;1284
dirección.;Director de Administración  y Finanzas;Consumo masivo;Max;NOA;$14.376.063;1284
dirección.;Director de Administración  y Finanzas;Gas, Petróleo y Minería;Min;NOA;$12.243.834;1284
dirección.;Director de Administración  y Finanzas;Gas, Petróleo y Minería;Max;NOA;$16.232.355;1284
dirección.;Director de Administración  y Finanzas;IT;Min;NOA;$12.243.834;1284
dirección.;Director de Administración  y Finanzas;IT;Max;NOA;$16.232.355;1284
dirección.;Director de Administración  y Finanzas;Lab & Pharma;Min;NOA;$12.243.834;1284
dirección.;Director de Administración  y Finanzas;Lab & Pharma;Max;NOA;$16.232.355;1284
